id,time_of_infected,time_of_removed,position_x,position_y,susceptibility level,infectivity level,cluster_id
0,0,0,18.5143,1.06323,0.437854,1,0
1,0,0,18.6193,0.382453,0.443838,1,0
2,0,0,12.4861,2.14221,0.508869,1,0
3,0,0,21.6435,3.86336,0.429331,1,0
4,0,0,25.7546,-0.273767,0.254154,1,0
5,0,0,20.9637,-0.653152,0.765956,1,0
6,0,0,15.9125,-0.41654,0.534963,1,0
7,0,0,15.5477,4.5864,0.403554,1,0
8,0,0,19.5115,0.293537,0.64216,1,0
9,0,0,14.9363,-1.42946,0.518569,1,0
10,0,0,17.5407,-2.43808,0.742758,1,0
11,0,0,17.0824,4.13954,0.408408,1,0
12,0,0,19.5221,3.96872,0.385749,1,0
13,0,0,15.067,3.08818,0.206005,1,0
14,0,0,19.5186,4.13161,0.460466,1,0
15,0,0,18.6515,3.87027,0.284409,1,0
16,0,0,18.0089,-1.25114,0.161839,1,0
17,0,0,15.3781,-3.53804,0.410769,1,0
18,0,0,14.0659,3.69974,0.25258,1,0
19,0,0,21.1322,4.08035,0.713141,1,0
20,0,0,19.4277,-1.24525,0.387449,1,0
21,0,0,17.3763,2.18583,0.201725,1,0
22,0,0,18.6941,-1.38458,0.722175,1,0
23,0,0,19.2811,0.853484,0.914637,1,0
24,0,0,22.9337,0.155326,0.0601563,1,0
25,0,0,18.274,1.39201,0.446309,1,0
26,0,0,19.5485,-4.70468,0.443462,1,0
27,0,0,21.7859,0.491835,0.0425959,1,0
28,0,0,11.534,1.14404,0.0435014,1,0
29,0,0,21.5755,0.601197,0.437545,1,0
30,0,0,19.4853,0.95267,0.330625,1,0
31,0,0,19.4417,4.00425,0.256162,1,0
32,0,0,22.6243,0.72294,0.378487,1,0
33,0,0,20.9859,-0.726249,0.297494,1,0
34,0,0,19.1435,-4.01865,0.295284,1,0
35,0,0,18.5653,-2.89076,0.249543,1,0
36,0,0,17.1151,-0.274835,0.325815,1,0
37,0,0,19.1609,1.10176,0.317452,1,0
38,0,0,19.7363,-0.299319,0.141016,1,0
39,0,0,21.8004,0.694572,0.468716,1,0
40,0,0,16.0874,2.70173,0.23901,1,0
41,0,0,13.3119,-0.825088,0.510867,1,0
42,0,0,17.6557,4.89296,0.431801,1,0
43,0,0,18.1967,2.63625,0.882587,1,0
44,0,0,16.3177,-1.21977,0.504728,1,0
45,0,0,21.1093,4.02563,0.512066,1,0
46,0,0,17.9022,2.16817,0.285096,1,0
47,0,0,17.7853,-2.51884,0.252863,1,0
48,0,0,19.6408,0.4705,0.265085,1,0
49,0,0,15.3256,1.1141,0.250778,1,0
50,0,0,14.5033,1.02939,0.740396,1,0
51,0,0,18.8804,0.706174,0.43272,1,0
52,0,0,20.4169,5.06713,0.0724482,1,0
53,0,0,16.442,1.78368,0.562253,1,0
54,0,0,19.2207,-1.8079,0.53577,1,0
55,0,0,17.5909,1.73766,0.87677,1,0
56,0,0,13.1347,2.34581,0.414218,1,0
57,0,0,14.5874,7.81711,0.482863,1,0
58,0,0,14.5877,-5.34094,0.881582,1,0
59,0,0,19.3131,-2.27313,0.538587,1,0
60,0,0,18.0548,0.0614182,0.380368,1,0
61,0,0,24.5142,0.823489,0.701563,1,0
62,0,0,17.6194,6.98429,0.343825,1,0
63,0,0,17.5584,3.61369,0.307308,1,0
64,0,0,13.867,2.99242,0.305978,1,0
65,0,0,15.0593,0.106877,0.279983,1,0
66,0,0,20.1049,2.04356,0.302778,1,0
67,0,0,21.6057,-1.95015,0.693703,1,0
68,0,0,17.292,-1.02893,0.429561,1,0
69,0,0,19.0616,1.83142,0.748109,1,0
70,0,0,17.6247,3.8324,0.751717,1,0
71,0,0,15.8474,3.63581,0.368244,1,0
72,0,0,18.37,6.08205,0.339653,1,0
73,0,0,17.1738,-6.25071,0.363907,1,0
74,0,0,18.3038,-3.30298,0.715778,1,0
75,0,0,-1.1137,6.1613,0.450214,1,0
76,0,0,6.89381,2.7402,0.311632,1,0
77,0,0,2.83528,3.38825,0.569881,1,0
78,0,0,3.11223,4.15514,0.413924,1,0
