a0,a1,beta
0.001,0.001,0.001,0
0.00049518,0.00134794,0.909302,0.0261283
0.0170371,0.00197063,1.00053,0.103212
0.0170371,0.00197063,1.00053,0.103212
0.0170371,0.00197063,1.00053,0.103212
0.0170371,0.00197063,1.00053,0.103212
0.0170371,0.00197063,1.00053,0.103212
0.0170371,0.00197063,1.00053,0.103212
0.0170371,0.00197063,1.00053,0.103212
0.0170371,0.00197063,1.00053,0.103212
0.0170371,0.00197063,1.00053,0.103212
0.0170371,0.00197063,1.00053,0.103212
0.0170371,0.00197063,1.00053,0.103212
0.0170371,0.00197063,1.00053,0.103212
0.0170371,0.00197063,1.00053,0.103212
0.0170371,0.00197063,1.00053,0.103212
0.02841,0.0035089,0.231535,0.0718905
0.02841,0.0035089,0.231535,0.0718905
0.02841,0.0035089,0.231535,0.0718905
0.0449229,0.00100979,0.178342,0.0219601
0.0449229,0.00100979,0.178342,0.0219601
0.0449229,0.00100979,0.178342,0.0219601
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0325068,0.00663385,0.114495,0.0478245
0.0271066,0.0127314,0.0398038,0.0284583
0.0271066,0.0127314,0.0398038,0.0284583
0.0271066,0.0127314,0.0398038,0.0284583
0.0271066,0.0127314,0.0398038,0.0284583
0.0271066,0.0127314,0.0398038,0.0284583
0.0271066,0.0127314,0.0398038,0.0284583
0.0271066,0.0127314,0.0398038,0.0284583
0.0271066,0.0127314,0.0398038,0.0284583
0.0252698,0.00714202,0.647949,0.0582783
0.0252698,0.00714202,0.647949,0.0582783
0.0252698,0.00714202,0.647949,0.0582783
0.0252698,0.00714202,0.647949,0.0582783
0.0150787,0.0151257,1.09779,0.0351614
0.0150787,0.0151257,1.09779,0.0351614
0.0150787,0.0151257,1.09779,0.0351614
0.00468625,0.0223605,1.08039,0.0544583
0.00468625,0.0223605,1.08039,0.0544583
0.00468625,0.0223605,1.08039,0.0544583
0.00468625,0.0223605,1.08039,0.0544583
0.00468625,0.0223605,1.08039,0.0544583
0.00468625,0.0223605,1.08039,0.0544583
0.00468625,0.0223605,1.08039,0.0544583
0.00468625,0.0223605,1.08039,0.0544583
0.00468625,0.0223605,1.08039,0.0544583
0.00468625,0.0223605,1.08039,0.0544583
0.00468625,0.0223605,1.08039,0.0544583
0.00468625,0.0223605,1.08039,0.0544583
0.00468625,0.0223605,1.08039,0.0544583
0.00468625,0.0223605,1.08039,0.0544583
0.00468625,0.0223605,1.08039,0.0544583
0.00468625,0.0223605,1.08039,0.0544583
0.00468625,0.0223605,1.08039,0.0544583
0.00468625,0.0223605,1.08039,0.0544583
0.00468625,0.0223605,1.08039,0.0544583
0.00468625,0.0223605,1.08039,0.0544583
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.00973346,0.0133055,0.900542,0.0369381
0.0196381,0.0298306,0.8143,0.0143166
0.0239903,0.0358966,0.0734913,0.0351138
0.0239903,0.0358966,0.0734913,0.0351138
0.0239903,0.0358966,0.0734913,0.0351138
0.0239903,0.0358966,0.0734913,0.0351138
0.000992316,0.0476235,0.646045,0.0352073
0.000992316,0.0476235,0.646045,0.0352073
0.000992316,0.0476235,0.646045,0.0352073
0.000992316,0.0476235,0.646045,0.0352073
0.000992316,0.0476235,0.646045,0.0352073
0.000992316,0.0476235,0.646045,0.0352073
0.000992316,0.0476235,0.646045,0.0352073
0.000992316,0.0476235,0.646045,0.0352073
0.000992316,0.0476235,0.646045,0.0352073
0.000992316,0.0476235,0.646045,0.0352073
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.00886634,0.0458801,0.474212,0.0311731
0.0194154,0.0317409,0.491029,0.0412282
0.0194154,0.0317409,0.491029,0.0412282
0.0314845,0.0287701,0.00149524,0.030282
0.0314845,0.0287701,0.00149524,0.030282
0.0314845,0.0287701,0.00149524,0.030282
0.0314845,0.0287701,0.00149524,0.030282
0.0314845,0.0287701,0.00149524,0.030282
0.0314845,0.0287701,0.00149524,0.030282
0.0314845,0.0287701,0.00149524,0.030282
0.0314845,0.0287701,0.00149524,0.030282
0.0204407,0.030683,0.412585,0.0404089
0.0204407,0.030683,0.412585,0.0404089
0.0204407,0.030683,0.412585,0.0404089
0.0204407,0.030683,0.412585,0.0404089
0.0204407,0.030683,0.412585,0.0404089
0.0204407,0.030683,0.412585,0.0404089
0.0204407,0.030683,0.412585,0.0404089
0.0185767,0.0394933,0.18759,0.0473788
0.0185767,0.0394933,0.18759,0.0473788
0.0185767,0.0394933,0.18759,0.0473788
0.0185767,0.0394933,0.18759,0.0473788
0.0148389,0.0298938,0.521015,0.0574862
0.0148389,0.0298938,0.521015,0.0574862
0.0148389,0.0298938,0.521015,0.0574862
0.0148389,0.0298938,0.521015,0.0574862
0.0148389,0.0298938,0.521015,0.0574862
0.0139906,0.0195511,0.822338,0.0559659
0.0139906,0.0195511,0.822338,0.0559659
0.0139906,0.0195511,0.822338,0.0559659
0.0139906,0.0195511,0.822338,0.0559659
0.0139906,0.0195511,0.822338,0.0559659
0.0139906,0.0195511,0.822338,0.0559659
0.0139906,0.0195511,0.822338,0.0559659
0.0139906,0.0195511,0.822338,0.0559659
0.0139906,0.0195511,0.822338,0.0559659
0.0139906,0.0195511,0.822338,0.0559659
0.0139906,0.0195511,0.822338,0.0559659
0.0139906,0.0195511,0.822338,0.0559659
0.0139906,0.0195511,0.822338,0.0559659
0.0139906,0.0195511,0.822338,0.0559659
0.0139906,0.0195511,0.822338,0.0559659
0.0139906,0.0195511,0.822338,0.0559659
0.0139906,0.0195511,0.822338,0.0559659
0.0139906,0.0195511,0.822338,0.0559659
0.0139906,0.0195511,0.822338,0.0559659
0.00833339,0.0220817,0.81002,0.0604161
0.00833339,0.0220817,0.81002,0.0604161
0.00833339,0.0220817,0.81002,0.0604161
0.00833339,0.0220817,0.81002,0.0604161
0.00833339,0.0220817,0.81002,0.0604161
0.00833339,0.0220817,0.81002,0.0604161
0.00833339,0.0220817,0.81002,0.0604161
0.00833339,0.0220817,0.81002,0.0604161
0.00833339,0.0220817,0.81002,0.0604161
0.00833339,0.0220817,0.81002,0.0604161
0.00833339,0.0220817,0.81002,0.0604161
0.00833339,0.0220817,0.81002,0.0604161
0.00833339,0.0220817,0.81002,0.0604161
0.00833339,0.0220817,0.81002,0.0604161
0.00833339,0.0220817,0.81002,0.0604161
0.0143906,0.0208625,0.478232,0.0323763
0.0143906,0.0208625,0.478232,0.0323763
0.0143906,0.0208625,0.478232,0.0323763
0.0143906,0.0208625,0.478232,0.0323763
0.0143906,0.0208625,0.478232,0.0323763
0.0143906,0.0208625,0.478232,0.0323763
0.0143906,0.0208625,0.478232,0.0323763
0.0143906,0.0208625,0.478232,0.0323763
0.0143906,0.0208625,0.478232,0.0323763
0.0143906,0.0208625,0.478232,0.0323763
0.0143906,0.0208625,0.478232,0.0323763
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.0298304,0.0223566,0.315044,0.029369
0.026568,0.0206395,0.221335,0.0185464
0.026568,0.0206395,0.221335,0.0185464
0.026568,0.0206395,0.221335,0.0185464
0.026568,0.0206395,0.221335,0.0185464
0.026568,0.0206395,0.221335,0.0185464
0.026568,0.0206395,0.221335,0.0185464
0.026568,0.0206395,0.221335,0.0185464
0.026568,0.0206395,0.221335,0.0185464
0.026568,0.0206395,0.221335,0.0185464
0.026568,0.0206395,0.221335,0.0185464
0.026568,0.0206395,0.221335,0.0185464
0.026568,0.0206395,0.221335,0.0185464
0.0203311,0.0310436,0.206058,0.0216763
0.0203311,0.0310436,0.206058,0.0216763
