a0,a1,beta,epsilon1,epsilon2,epsilon3
0.001,0.001,0.001,0,0,0
0.00766888,0.011375,0.197541,0.122914,0.0345944,0.0347084
0.00766888,0.011375,0.197541,0.122914,0.0345944,0.0347084
0.00766888,0.011375,0.197541,0.122914,0.0345944,0.0347084
0.00766888,0.011375,0.197541,0.122914,0.0345944,0.0347084
0.0134361,0.0129368,0.478821,0.102323,0.0350304,0.0801666
0.0134361,0.0129368,0.478821,0.102323,0.0350304,0.0801666
0.0134361,0.0129368,0.478821,0.102323,0.0350304,0.0801666
0.0134361,0.0129368,0.478821,0.102323,0.0350304,0.0801666
0.00641744,0.0177929,1.14069,0.148443,0.0826918,0.0675806
0.00641744,0.0177929,1.14069,0.148443,0.0826918,0.0675806
0.00641744,0.0177929,1.14069,0.148443,0.0826918,0.0675806
0.00641744,0.0177929,1.14069,0.148443,0.0826918,0.0675806
0.00641744,0.0177929,1.14069,0.148443,0.0826918,0.0675806
0.00641744,0.0177929,1.14069,0.148443,0.0826918,0.0675806
0.00641744,0.0177929,1.14069,0.148443,0.0826918,0.0675806
0.00641744,0.0177929,1.14069,0.148443,0.0826918,0.0675806
0.00641744,0.0177929,1.14069,0.148443,0.0826918,0.0675806
0.00641744,0.0177929,1.14069,0.148443,0.0826918,0.0675806
0.00641744,0.0177929,1.14069,0.148443,0.0826918,0.0675806
0.00641744,0.0177929,1.14069,0.148443,0.0826918,0.0675806
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
0.0105091,0.0230486,0.557551,0.105699,0.0771893,0.0781645
