a0,a1,beta,tilde_beta
0.05,0.05,1.5,2
0.05,0.05,1.5,2
0.05,0.05,1.5,2
0.05,0.05,1.5,2
0.0357548,0.066268,1.05481,2.02267
0.0357548,0.066268,1.05481,2.02267
0.0357548,0.066268,1.05481,2.02267
0.0357548,0.066268,1.05481,2.02267
0.0357548,0.066268,1.05481,2.02267
0.0357548,0.066268,1.05481,2.02267
0.0357548,0.066268,1.05481,2.02267
0.0405176,0.015273,0.878693,2.6849
0.0405176,0.015273,0.878693,2.6849
0.0405176,0.015273,0.878693,2.6849
0.0405176,0.015273,0.878693,2.6849
0.0405176,0.015273,0.878693,2.6849
0.0405176,0.015273,0.878693,2.6849
0.0405176,0.015273,0.878693,2.6849
0.0783756,0.000841733,1.43643,2.83907
0.0783756,0.000841733,1.43643,2.83907
0.0496047,0.0210975,1.20344,2.66831
0.0496047,0.0210975,1.20344,2.66831
0.0496047,0.0210975,1.20344,2.66831
0.0496047,0.0210975,1.20344,2.66831
0.0496047,0.0210975,1.20344,2.66831
0.0496047,0.0210975,1.20344,2.66831
0.0496047,0.0210975,1.20344,2.66831
0.0496047,0.0210975,1.20344,2.66831
0.0496047,0.0210975,1.20344,2.66831
0.0496047,0.0210975,1.20344,2.66831
0.0496047,0.0210975,1.20344,2.66831
0.0496047,0.0210975,1.20344,2.66831
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.0560099,0.0415101,1.02543,2.77102
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.072465,0.031941,1.22638,2.8279
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0574511,0.0538451,1.16326,2.66661
0.0521339,0.062987,1.18434,2.39453
0.0521339,0.062987,1.18434,2.39453
0.0521339,0.062987,1.18434,2.39453
0.0521339,0.062987,1.18434,2.39453
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0389795,0.053576,0.968626,2.50661
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0516578,0.102559,1.33628,2.67307
0.0423765,0.132209,1.39071,2.85921
0.0423765,0.132209,1.39071,2.85921
0.0423765,0.132209,1.39071,2.85921
0.0423765,0.132209,1.39071,2.85921
0.0423765,0.132209,1.39071,2.85921
0.0423765,0.132209,1.39071,2.85921
0.0423765,0.132209,1.39071,2.85921
0.0423765,0.132209,1.39071,2.85921
0.0423765,0.132209,1.39071,2.85921
0.0423765,0.132209,1.39071,2.85921
0.0423765,0.132209,1.39071,2.85921
0.0423765,0.132209,1.39071,2.85921
0.0358877,0.123337,1.51143,2.51175
0.0358877,0.123337,1.51143,2.51175
0.0358877,0.123337,1.51143,2.51175
0.0358877,0.123337,1.51143,2.51175
