a0,a1,beta,tilde_beta
0.01,0.01,0.5,0.5
0.01,0.01,0.5,0.5
0.0103958,0.050679,0.762363,0.241688
0.0103958,0.050679,0.762363,0.241688
0.0103958,0.050679,0.762363,0.241688
0.0233483,0.0702059,0.623551,0.542062
0.0233483,0.0702059,0.623551,0.542062
0.0233483,0.0702059,0.623551,0.542062
0.0233483,0.0702059,0.623551,0.542062
0.0233483,0.0702059,0.623551,0.542062
0.0233483,0.0702059,0.623551,0.542062
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0400941,0.0628399,1.18332,0.0104649
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0453305,0.0625882,1.06271,0.395256
0.0649949,0.0710532,1.4007,0.257086
0.0649949,0.0710532,1.4007,0.257086
0.0649949,0.0710532,1.4007,0.257086
0.0649949,0.0710532,1.4007,0.257086
0.0649949,0.0710532,1.4007,0.257086
0.0649949,0.0710532,1.4007,0.257086
0.0649949,0.0710532,1.4007,0.257086
0.0649949,0.0710532,1.4007,0.257086
0.0649949,0.0710532,1.4007,0.257086
0.0649949,0.0710532,1.4007,0.257086
0.0649949,0.0710532,1.4007,0.257086
0.0649949,0.0710532,1.4007,0.257086
0.0649949,0.0710532,1.4007,0.257086
0.0649949,0.0710532,1.4007,0.257086
