a0,a1,beta,epsilondelta
0.001,0.001,0.001,0,0
0.00204903,0.00291308,0.589381,0.00937683,0.0267754
0.0036552,0.00532871,0.423444,0.0302164,0.0378048
0.00460789,0.0105179,0.550615,0.0162091,0.00867492
0.00783374,0.00579041,0.842723,0.0136719,0.00113231
0.00937708,0.00926636,0.469688,0.0207332,0.108361
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0129626,0.00509033,0.927953,0.0680973,0.10305
0.0100365,0.00710105,1.22169,0.0493186,0.0801594
0.0100365,0.00710105,1.22169,0.0493186,0.0801594
0.0100365,0.00710105,1.22169,0.0493186,0.0801594
0.0118871,0.00753472,1.29588,0.0176384,0.101357
0.0118871,0.00753472,1.29588,0.0176384,0.101357
0.0118871,0.00753472,1.29588,0.0176384,0.101357
0.0118871,0.00753472,1.29588,0.0176384,0.101357
0.0118871,0.00753472,1.29588,0.0176384,0.101357
0.012403,0.00963601,1.15742,0.0447459,0.0814293
0.012403,0.00963601,1.15742,0.0447459,0.0814293
0.012403,0.00963601,1.15742,0.0447459,0.0814293
0.0147111,0.0198815,0.846314,0.0115319,0.00506464
0.020491,0.0223318,0.707585,0.0175577,0.00865999
0.020491,0.0223318,0.707585,0.0175577,0.00865999
0.020491,0.0223318,0.707585,0.0175577,0.00865999
0.020491,0.0223318,0.707585,0.0175577,0.00865999
0.020491,0.0223318,0.707585,0.0175577,0.00865999
0.020491,0.0223318,0.707585,0.0175577,0.00865999
0.020491,0.0223318,0.707585,0.0175577,0.00865999
0.020491,0.0223318,0.707585,0.0175577,0.00865999
0.020491,0.0223318,0.707585,0.0175577,0.00865999
0.020491,0.0223318,0.707585,0.0175577,0.00865999
0.0231977,0.0323239,0.551292,0.0170196,0.0124727
0.0231977,0.0323239,0.551292,0.0170196,0.0124727
0.0231977,0.0323239,0.551292,0.0170196,0.0124727
0.0231977,0.0323239,0.551292,0.0170196,0.0124727
0.0158489,0.029482,0.689268,0.0389845,0.0887813
0.0158489,0.029482,0.689268,0.0389845,0.0887813
0.0158489,0.029482,0.689268,0.0389845,0.0887813
0.0158489,0.029482,0.689268,0.0389845,0.0887813
0.0158489,0.029482,0.689268,0.0389845,0.0887813
0.0158489,0.029482,0.689268,0.0389845,0.0887813
0.0158489,0.029482,0.689268,0.0389845,0.0887813
0.0158489,0.029482,0.689268,0.0389845,0.0887813
0.0158489,0.029482,0.689268,0.0389845,0.0887813
0.0158489,0.029482,0.689268,0.0389845,0.0887813
0.0158489,0.029482,0.689268,0.0389845,0.0887813
0.0158489,0.029482,0.689268,0.0389845,0.0887813
0.0158489,0.029482,0.689268,0.0389845,0.0887813
0.0158489,0.029482,0.689268,0.0389845,0.0887813
0.0158489,0.029482,0.689268,0.0389845,0.0887813
0.0158489,0.029482,0.689268,0.0389845,0.0887813
0.0158489,0.029482,0.689268,0.0389845,0.0887813
0.0158489,0.029482,0.689268,0.0389845,0.0887813
0.0223507,0.0279236,0.539094,0.0235791,0.155626
0.0223507,0.0279236,0.539094,0.0235791,0.155626
0.0223507,0.0279236,0.539094,0.0235791,0.155626
0.0223507,0.0279236,0.539094,0.0235791,0.155626
0.0223507,0.0279236,0.539094,0.0235791,0.155626
0.0223507,0.0279236,0.539094,0.0235791,0.155626
0.0223507,0.0279236,0.539094,0.0235791,0.155626
0.0223507,0.0279236,0.539094,0.0235791,0.155626
