a0,a1,beta,
0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.0644791
0.0644791,0.0587773,0.188924,1.82164
1.82164,0.00240921,1.17,1.82164
1.82164,0.00240921,1.17,1.82164
1.82164,0.00240921,1.17,1.82164
1.82164,0.00240921,1.17,1.82164
1.82164,0.00240921,1.17,1.82164
1.82164,0.00240921,1.17,1.82164
1.82164,0.00240921,1.17,1.82164
1.82164,0.00240921,1.17,0.318639
0.318639,0.00440019,29.9949,0.318639
0.318639,0.00440019,29.9949,0.318639
0.318639,0.00440019,29.9949,0.318639
0.318639,0.00440019,29.9949,0.209333
0.209333,0.036347,58.7885,0.209333
0.209333,0.036347,58.7885,0.209333
0.209333,0.036347,58.7885,0.209333
0.209333,0.036347,58.7885,0.209333
0.209333,0.036347,58.7885,0.0331426
0.0331426,0.0131694,50.6542,0.0331426
0.0331426,0.0131694,50.6542,0.0331426
0.0331426,0.0131694,50.6542,0.0331426
0.0331426,0.0131694,50.6542,0.0331426
0.0331426,0.0131694,50.6542,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,0.0888666
0.0888666,0.0123282,34.5459,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
2.7265,0.0111924,52.8714,2.7265
