a0,a1,beta,epsilon
0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
0.376027,0.402771,1.14522,0.0346202
1.11958,1.20151,1.44722,0.00630112
1.11958,1.20151,1.44722,0.00630112
1.11958,1.20151,1.44722,0.00630112
1.11958,1.20151,1.44722,0.00630112
1.11958,1.20151,1.44722,0.00630112
1.11958,1.20151,1.44722,0.00630112
1.11958,1.20151,1.44722,0.00630112
1.11958,1.20151,1.44722,0.00630112
1.11958,1.20151,1.44722,0.00630112
1.11958,1.20151,1.44722,0.00630112
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
0.834349,0.288761,1.81067,0.000970598
