a0,a1,beta,tilde_beta
0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.001
0.001,0.001,0.001,0.0079447
0.0079447,0.0106195,0.731146,0.0079447
0.0079447,0.0106195,0.731146,0.0255331
0.0255331,0.00916945,1.05085,0.0255331
0.0255331,0.00916945,1.05085,0.0255331
0.0255331,0.00916945,1.05085,0.0255331
0.0255331,0.00916945,1.05085,0.0255331
0.0255331,0.00916945,1.05085,0.0255331
0.0255331,0.00916945,1.05085,0.0255331
0.0255331,0.00916945,1.05085,0.0255331
0.0255331,0.00916945,1.05085,0.0255331
0.0255331,0.00916945,1.05085,0.0255331
0.0255331,0.00916945,1.05085,0.0264529
0.0264529,0.0117046,1.1204,0.0264529
0.0264529,0.0117046,1.1204,0.0264529
0.0264529,0.0117046,1.1204,0.0264529
0.0264529,0.0117046,1.1204,0.0264529
0.0264529,0.0117046,1.1204,0.0264529
0.0264529,0.0117046,1.1204,0.0555544
0.0555544,0.00601882,1.41963,0.0555544
0.0555544,0.00601882,1.41963,0.0555544
0.0555544,0.00601882,1.41963,0.0555544
0.0555544,0.00601882,1.41963,0.0555544
0.0555544,0.00601882,1.41963,0.0555544
0.0555544,0.00601882,1.41963,0.0555544
0.0555544,0.00601882,1.41963,0.0555544
0.0555544,0.00601882,1.41963,0.0555544
0.0555544,0.00601882,1.41963,0.0555544
0.0555544,0.00601882,1.41963,0.0555544
0.0555544,0.00601882,1.41963,0.0555544
0.0555544,0.00601882,1.41963,0.0632352
0.0632352,0.00252103,1.46567,0.0632352
0.0632352,0.00252103,1.46567,0.0873577
0.0873577,0.0124825,1.64688,0.0873577
0.0873577,0.0124825,1.64688,0.0873577
0.0873577,0.0124825,1.64688,0.0873577
0.0873577,0.0124825,1.64688,0.0873577
0.0873577,0.0124825,1.64688,0.0873577
0.0873577,0.0124825,1.64688,0.0792298
0.0792298,0.0187953,1.52057,0.0569547
0.0569547,0.0205204,1.40267,0.0782775
0.0782775,0.0397733,1.51364,0.0782775
0.0782775,0.0397733,1.51364,0.0782775
0.0782775,0.0397733,1.51364,0.0782775
0.0782775,0.0397733,1.51364,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.0671136
0.0671136,0.0506908,1.47283,0.069897
0.069897,0.0548257,1.58351,0.069897
0.069897,0.0548257,1.58351,0.069897
0.069897,0.0548257,1.58351,0.069897
0.069897,0.0548257,1.58351,0.069897
0.069897,0.0548257,1.58351,0.069897
0.069897,0.0548257,1.58351,0.0565346
0.0565346,0.050929,1.46992,0.0565346
0.0565346,0.050929,1.46992,0.0565346
0.0565346,0.050929,1.46992,0.0565346
0.0565346,0.050929,1.46992,0.0565346
0.0565346,0.050929,1.46992,0.0657665
0.0657665,0.0551204,1.484,0.0657665
0.0657665,0.0551204,1.484,0.0657665
0.0657665,0.0551204,1.484,0.0657665
0.0657665,0.0551204,1.484,0.0657665
0.0657665,0.0551204,1.484,0.0657665
0.0657665,0.0551204,1.484,0.0657665
0.0657665,0.0551204,1.484,0.0657665
0.0657665,0.0551204,1.484,0.0733459
0.0733459,0.0216381,1.44659,0.0733459
0.0733459,0.0216381,1.44659,0.0733459
0.0733459,0.0216381,1.44659,0.0733459
0.0733459,0.0216381,1.44659,0.0733459
0.0733459,0.0216381,1.44659,0.0733459
0.0733459,0.0216381,1.44659,0.0733459
0.0733459,0.0216381,1.44659,0.0496121
0.0496121,0.058354,1.37545,0.0496121
0.0496121,0.058354,1.37545,0.0496121
0.0496121,0.058354,1.37545,0.0496121
0.0496121,0.058354,1.37545,0.061051
0.061051,0.0489572,1.54965,0.061051
0.061051,0.0489572,1.54965,0.061051
0.061051,0.0489572,1.54965,0.061051
0.061051,0.0489572,1.54965,0.061051
0.061051,0.0489572,1.54965,0.061051
0.061051,0.0489572,1.54965,0.061051
0.061051,0.0489572,1.54965,0.061051
0.061051,0.0489572,1.54965,0.061051
0.061051,0.0489572,1.54965,0.061051
0.061051,0.0489572,1.54965,0.061051
0.061051,0.0489572,1.54965,0.0638595
0.0638595,0.0422036,1.5094,0.0638595
0.0638595,0.0422036,1.5094,0.0638595
0.0638595,0.0422036,1.5094,0.0638595
0.0638595,0.0422036,1.5094,0.0638595
0.0638595,0.0422036,1.5094,0.0574623
