a0,a1,beta,epsilon
0.001,0.001,0.001,0
0.00388981,0.0142843,0.0533099,0.00967614
0.0183399,0.0190085,0.896248,0.0322592
0.0183399,0.0190085,0.896248,0.0322592
0.0183399,0.0190085,0.896248,0.0322592
0.0183399,0.0190085,0.896248,0.0322592
0.0183399,0.0190085,0.896248,0.0322592
0.0183399,0.0190085,0.896248,0.0322592
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0168239,0.0231614,0.853773,0.0134083
0.0141602,0.0279217,0.566027,0.0318394
0.0141602,0.0279217,0.566027,0.0318394
0.0141602,0.0279217,0.566027,0.0318394
0.0141602,0.0279217,0.566027,0.0318394
0.0141602,0.0279217,0.566027,0.0318394
0.0141602,0.0279217,0.566027,0.0318394
0.0141602,0.0279217,0.566027,0.0318394
0.0141602,0.0279217,0.566027,0.0318394
0.0141602,0.0279217,0.566027,0.0318394
0.0141602,0.0279217,0.566027,0.0318394
0.0141602,0.0279217,0.566027,0.0318394
0.0141602,0.0279217,0.566027,0.0318394
0.0141602,0.0279217,0.566027,0.0318394
0.0141602,0.0279217,0.566027,0.0318394
0.0150886,0.032432,0.65218,0.0279456
0.0150886,0.032432,0.65218,0.0279456
0.0150886,0.032432,0.65218,0.0279456
0.0150886,0.032432,0.65218,0.0279456
0.0150886,0.032432,0.65218,0.0279456
0.0150886,0.032432,0.65218,0.0279456
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.00777757,0.0352141,0.799806,0.0227908
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
0.0146763,0.0261546,0.681465,0.0289079
