a0,a1,beta,epsilon1,epsilon2,epsilon3
0.001,0.001,0.001,0,0,0
0.0121944,0.00304037,0.0806103,0.000293542,0.000925565,0.000410742
0.0121944,0.00304037,0.0806103,0.000293542,0.000925565,0.000410742
0.0121944,0.00304037,0.0806103,0.000293542,0.000925565,0.000410742
0.0121944,0.00304037,0.0806103,0.000293542,0.000925565,0.000410742
0.0230282,0.0157719,0.0278878,0.00015485,0.00131683,0.000399752
0.0230282,0.0157719,0.0278878,0.00015485,0.00131683,0.000399752
0.0339731,0.0124941,0.194556,0.00117699,0.000578181,0.00123833
0.0339731,0.0124941,0.194556,0.00117699,0.000578181,0.00123833
0.0339731,0.0124941,0.194556,0.00117699,0.000578181,0.00123833
0.0259907,0.00869962,0.336208,0.00166079,0.00097621,0.00106006
0.0259907,0.00869962,0.336208,0.00166079,0.00097621,0.00106006
0.0259907,0.00869962,0.336208,0.00166079,0.00097621,0.00106006
0.0259907,0.00869962,0.336208,0.00166079,0.00097621,0.00106006
0.0320473,0.0104184,0.450962,0.00298496,0.00108918,0.00132912
0.0315905,0.00116181,0.439137,0.0030487,0.00142595,0.00310862
0.0248068,0.0102175,0.478996,0.00382245,0.0031751,0.00296531
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
0.0393569,0.00683748,0.380838,0.00202471,0.00527056,0.00546684
