a0,a1,beta,epsilon
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.001,0.001,0.5,0.001
0.0329711,0.0265224,0.665133,0.000663589
0.0329711,0.0265224,0.665133,0.000663589
0.0329711,0.0265224,0.665133,0.000663589
0.0467149,0.0106422,0.849428,0.000579681
0.0467149,0.0106422,0.849428,0.000579681
0.0467149,0.0106422,0.849428,0.000579681
0.0768421,0.00817754,1.00303,0.00132547
0.0768421,0.00817754,1.00303,0.00132547
0.0768421,0.00817754,1.00303,0.00132547
0.0768421,0.00817754,1.00303,0.00132547
0.0768421,0.00817754,1.00303,0.00132547
0.0768421,0.00817754,1.00303,0.00132547
0.0768421,0.00817754,1.00303,0.00132547
0.0768421,0.00817754,1.00303,0.00132547
0.0768421,0.00817754,1.00303,0.00132547
0.0768421,0.00817754,1.00303,0.00132547
0.0768421,0.00817754,1.00303,0.00132547
0.0768421,0.00817754,1.00303,0.00132547
0.0768421,0.00817754,1.00303,0.00132547
0.0768421,0.00817754,1.00303,0.00132547
0.0768421,0.00817754,1.00303,0.00132547
0.0768421,0.00817754,1.00303,0.00132547
0.0823551,0.00681365,1.18163,0.00254591
0.0823551,0.00681365,1.18163,0.00254591
0.0823551,0.00681365,1.18163,0.00254591
0.0823551,0.00681365,1.18163,0.00254591
0.0823551,0.00681365,1.18163,0.00254591
0.0823551,0.00681365,1.18163,0.00254591
0.0823551,0.00681365,1.18163,0.00254591
0.0823551,0.00681365,1.18163,0.00254591
0.0823551,0.00681365,1.18163,0.00254591
0.0823551,0.00681365,1.18163,0.00254591
0.0823551,0.00681365,1.18163,0.00254591
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
0.0775015,0.0181694,1.31058,0.000819674
