a0,a1,beta,tilde_beta
0.01,0.01,1,1.5
0.01,0.01,1,1.5
0.0102178,0.0361117,0.449513,1.92535
0.0102178,0.0361117,0.449513,1.92535
0.0298751,0.0237245,0.919209,2.29178
0.0386583,0.0242253,0.903312,2.327
0.0386583,0.0242253,0.903312,2.327
0.0386583,0.0242253,0.903312,2.327
0.0386583,0.0242253,0.903312,2.327
0.0386583,0.0242253,0.903312,2.327
0.0386583,0.0242253,0.903312,2.327
0.0386583,0.0242253,0.903312,2.327
0.0386583,0.0242253,0.903312,2.327
0.0424766,0.0535751,1.28088,2.62216
0.0424766,0.0535751,1.28088,2.62216
0.0424766,0.0535751,1.28088,2.62216
0.0424766,0.0535751,1.28088,2.62216
0.0424766,0.0535751,1.28088,2.62216
0.0424766,0.0535751,1.28088,2.62216
0.0424766,0.0535751,1.28088,2.62216
0.0424766,0.0535751,1.28088,2.62216
0.0424766,0.0535751,1.28088,2.62216
0.0424766,0.0535751,1.28088,2.62216
0.0424766,0.0535751,1.28088,2.62216
0.0424766,0.0535751,1.28088,2.62216
0.0424766,0.0535751,1.28088,2.62216
0.0424766,0.0535751,1.28088,2.62216
0.0544523,0.0463228,1.2838,2.56094
0.0544523,0.0463228,1.2838,2.56094
0.0544523,0.0463228,1.2838,2.56094
0.0544523,0.0463228,1.2838,2.56094
0.0544523,0.0463228,1.2838,2.56094
0.0544523,0.0463228,1.2838,2.56094
0.0544523,0.0463228,1.2838,2.56094
0.0544523,0.0463228,1.2838,2.56094
0.0544523,0.0463228,1.2838,2.56094
0.0544523,0.0463228,1.2838,2.56094
0.0544523,0.0463228,1.2838,2.56094
0.0544523,0.0463228,1.2838,2.56094
0.0630954,0.0340218,1.21552,2.64818
0.0630954,0.0340218,1.21552,2.64818
0.0630954,0.0340218,1.21552,2.64818
0.0630954,0.0340218,1.21552,2.64818
0.0630954,0.0340218,1.21552,2.64818
0.0630954,0.0340218,1.21552,2.64818
0.0630954,0.0340218,1.21552,2.64818
0.0630954,0.0340218,1.21552,2.64818
0.0630954,0.0340218,1.21552,2.64818
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0550866,0.0177482,1.1589,2.85848
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0594071,0.0666206,1.36421,2.86933
0.0500853,0.0346089,1.19599,2.71872
0.0500853,0.0346089,1.19599,2.71872
0.0500853,0.0346089,1.19599,2.71872
0.0500853,0.0346089,1.19599,2.71872
0.0500853,0.0346089,1.19599,2.71872
0.0500853,0.0346089,1.19599,2.71872
0.0500853,0.0346089,1.19599,2.71872
0.0500853,0.0346089,1.19599,2.71872
0.0500853,0.0346089,1.19599,2.71872
0.0500853,0.0346089,1.19599,2.71872
0.0500853,0.0346089,1.19599,2.71872
0.0525387,0.0334536,1.14162,2.73668
0.0525387,0.0334536,1.14162,2.73668
0.0525387,0.0334536,1.14162,2.73668
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
0.0597611,0.0487775,1.23677,2.75249
