a0,a1,beta,tilde_beta
0.001,0.001,0.5,1.5
0.0229161,0.0273229,1.06947,1.95891
0.0177661,0.0533214,0.847012,1.96517
0.0177661,0.0533214,0.847012,1.96517
0.0177661,0.0533214,0.847012,1.96517
0.0177661,0.0533214,0.847012,1.96517
0.0547691,0.0147718,1.19058,1.9097
0.0547691,0.0147718,1.19058,1.9097
0.0382512,0.0053467,0.895044,2.2751
0.0382512,0.0053467,0.895044,2.2751
0.0382512,0.0053467,0.895044,2.2751
0.0747477,0.0185745,0.851433,3.03473
0.0747477,0.0185745,0.851433,3.03473
0.0508795,0.0486561,1.56761,2.86254
0.0508795,0.0486561,1.56761,2.86254
0.0535966,0.0919388,1.44886,2.57078
0.0535966,0.0919388,1.44886,2.57078
0.0535966,0.0919388,1.44886,2.57078
0.0535966,0.0919388,1.44886,2.57078
0.0535966,0.0919388,1.44886,2.57078
0.0535966,0.0919388,1.44886,2.57078
0.0535966,0.0919388,1.44886,2.57078
0.0535966,0.0919388,1.44886,2.57078
0.0535966,0.0919388,1.44886,2.57078
0.0535966,0.0919388,1.44886,2.57078
0.0535966,0.0919388,1.44886,2.57078
0.0535966,0.0919388,1.44886,2.57078
0.0535966,0.0919388,1.44886,2.57078
0.0535966,0.0919388,1.44886,2.57078
0.0614827,0.0546911,1.33672,2.69227
0.0614827,0.0546911,1.33672,2.69227
0.0614827,0.0546911,1.33672,2.69227
0.0614827,0.0546911,1.33672,2.69227
0.0614827,0.0546911,1.33672,2.69227
0.0614827,0.0546911,1.33672,2.69227
0.0614827,0.0546911,1.33672,2.69227
0.0614827,0.0546911,1.33672,2.69227
0.0470747,0.0789597,1.15484,2.95572
0.0470747,0.0789597,1.15484,2.95572
0.0470747,0.0789597,1.15484,2.95572
0.0470747,0.0789597,1.15484,2.95572
0.0470747,0.0789597,1.15484,2.95572
0.0470747,0.0789597,1.15484,2.95572
0.0470747,0.0789597,1.15484,2.95572
0.0470747,0.0789597,1.15484,2.95572
0.0470747,0.0789597,1.15484,2.95572
0.0470747,0.0789597,1.15484,2.95572
0.0470747,0.0789597,1.15484,2.95572
0.0586586,0.081691,1.16571,3.38265
0.0586586,0.081691,1.16571,3.38265
0.0584448,0.0390991,1.25606,3.79607
0.0584448,0.0390991,1.25606,3.79607
0.0584448,0.0390991,1.25606,3.79607
0.0584448,0.0390991,1.25606,3.79607
0.0584448,0.0390991,1.25606,3.79607
0.0584448,0.0390991,1.25606,3.79607
0.0584448,0.0390991,1.25606,3.79607
0.0584448,0.0390991,1.25606,3.79607
0.0584448,0.0390991,1.25606,3.79607
0.0584448,0.0390991,1.25606,3.79607
0.0584448,0.0390991,1.25606,3.79607
0.0584448,0.0390991,1.25606,3.79607
0.0584448,0.0390991,1.25606,3.79607
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0509642,0.0624972,1.08933,3.30393
0.0621426,0.0470746,1.30187,3.04854
0.0621426,0.0470746,1.30187,3.04854
0.0621426,0.0470746,1.30187,3.04854
0.0621426,0.0470746,1.30187,3.04854
0.0621426,0.0470746,1.30187,3.04854
0.0621426,0.0470746,1.30187,3.04854
0.0621426,0.0470746,1.30187,3.04854
0.0621426,0.0470746,1.30187,3.04854
0.0621426,0.0470746,1.30187,3.04854
0.0621426,0.0470746,1.30187,3.04854
0.0621426,0.0470746,1.30187,3.04854
0.0621426,0.0470746,1.30187,3.04854
0.0621426,0.0470746,1.30187,3.04854
0.0621426,0.0470746,1.30187,3.04854
0.0621426,0.0470746,1.30187,3.04854
0.0621426,0.0470746,1.30187,3.04854
0.0621426,0.0470746,1.30187,3.04854
0.0621426,0.0470746,1.30187,3.04854
0.0621426,0.0470746,1.30187,3.04854
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0657839,0.0595492,1.34811,3.01261
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0760008,0.039107,1.42314,3.35272
0.0561315,0.0384105,1.11664,3.50137
0.0561315,0.0384105,1.11664,3.50137
0.0561315,0.0384105,1.11664,3.50137
0.0561315,0.0384105,1.11664,3.50137
0.0561315,0.0384105,1.11664,3.50137
0.0561315,0.0384105,1.11664,3.50137
0.0561315,0.0384105,1.11664,3.50137
0.074492,0.0572646,1.40608,2.97978
0.074492,0.0572646,1.40608,2.97978
0.074492,0.0572646,1.40608,2.97978
0.074492,0.0572646,1.40608,2.97978
0.074492,0.0572646,1.40608,2.97978
0.074492,0.0572646,1.40608,2.97978
0.0979525,0.0258431,1.39674,3.48502
0.0979525,0.0258431,1.39674,3.48502
0.0979525,0.0258431,1.39674,3.48502
0.0979525,0.0258431,1.39674,3.48502
0.0979525,0.0258431,1.39674,3.48502
0.0979525,0.0258431,1.39674,3.48502
0.0979525,0.0258431,1.39674,3.48502
0.0979525,0.0258431,1.39674,3.48502
0.0979525,0.0258431,1.39674,3.48502
0.0979525,0.0258431,1.39674,3.48502
0.0979525,0.0258431,1.39674,3.48502
0.0979525,0.0258431,1.39674,3.48502
0.0979525,0.0258431,1.39674,3.48502
0.0979525,0.0258431,1.39674,3.48502
0.0979525,0.0258431,1.39674,3.48502
0.0883021,0.00220664,1.21892,3.79963
0.0883021,0.00220664,1.21892,3.79963
0.0883021,0.00220664,1.21892,3.79963
0.0883021,0.00220664,1.21892,3.79963
0.0883021,0.00220664,1.21892,3.79963
0.0883021,0.00220664,1.21892,3.79963
0.0883021,0.00220664,1.21892,3.79963
0.0883021,0.00220664,1.21892,3.79963
0.0883021,0.00220664,1.21892,3.79963
0.0883021,0.00220664,1.21892,3.79963
0.0908268,0.0140209,1.40815,4.14721
0.0908268,0.0140209,1.40815,4.14721
0.0908268,0.0140209,1.40815,4.14721
0.0908268,0.0140209,1.40815,4.14721
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0797469,0.0496331,1.40795,4.20492
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0717469,0.0717763,1.31652,3.97217
0.0754911,0.0384659,1.41012,4.10834
0.0754911,0.0384659,1.41012,4.10834
0.0910324,0.0506815,1.52511,4.37732
0.0910324,0.0506815,1.52511,4.37732
0.0910324,0.0506815,1.52511,4.37732
0.0910324,0.0506815,1.52511,4.37732
0.0910324,0.0506815,1.52511,4.37732
0.0910324,0.0506815,1.52511,4.37732
0.0910324,0.0506815,1.52511,4.37732
0.0910324,0.0506815,1.52511,4.37732
0.0910324,0.0506815,1.52511,4.37732
0.0910324,0.0506815,1.52511,4.37732
0.0910324,0.0506815,1.52511,4.37732
0.0910324,0.0506815,1.52511,4.37732
0.0910324,0.0506815,1.52511,4.37732
0.059899,0.0406926,1.07507,3.65026
0.059899,0.0406926,1.07507,3.65026
0.059899,0.0406926,1.07507,3.65026
0.059899,0.0406926,1.07507,3.65026
0.059899,0.0406926,1.07507,3.65026
0.059899,0.0406926,1.07507,3.65026
0.059899,0.0406926,1.07507,3.65026
0.059899,0.0406926,1.07507,3.65026
0.059899,0.0406926,1.07507,3.65026
0.059899,0.0406926,1.07507,3.65026
0.059899,0.0406926,1.07507,3.65026
0.059899,0.0406926,1.07507,3.65026
0.059899,0.0406926,1.07507,3.65026
0.059899,0.0406926,1.07507,3.65026
0.059899,0.0406926,1.07507,3.65026
0.059899,0.0406926,1.07507,3.65026
0.059899,0.0406926,1.07507,3.65026
0.059899,0.0406926,1.07507,3.65026
0.0662165,0.0480627,1.21103,3.78577
0.0662165,0.0480627,1.21103,3.78577
0.0662165,0.0480627,1.21103,3.78577
0.0626625,0.0515237,1.22012,4.00844
0.0626625,0.0515237,1.22012,4.00844
0.0626625,0.0515237,1.22012,4.00844
0.0626625,0.0515237,1.22012,4.00844
0.0626625,0.0515237,1.22012,4.00844
0.0626625,0.0515237,1.22012,4.00844
0.0626625,0.0515237,1.22012,4.00844
0.0626625,0.0515237,1.22012,4.00844
0.0626625,0.0515237,1.22012,4.00844
0.0626625,0.0515237,1.22012,4.00844
0.0626625,0.0515237,1.22012,4.00844
0.0626625,0.0515237,1.22012,4.00844
0.0626625,0.0515237,1.22012,4.00844
0.0693484,0.059263,1.38272,3.51153
0.0693484,0.059263,1.38272,3.51153
0.0693484,0.059263,1.38272,3.51153
0.0693484,0.059263,1.38272,3.51153
0.0693484,0.059263,1.38272,3.51153
0.0693484,0.059263,1.38272,3.51153
0.0693484,0.059263,1.38272,3.51153
0.0693484,0.059263,1.38272,3.51153
0.0693484,0.059263,1.38272,3.51153
0.0693484,0.059263,1.38272,3.51153
0.0693484,0.059263,1.38272,3.51153
0.0693484,0.059263,1.38272,3.51153
0.0693484,0.059263,1.38272,3.51153
0.0693484,0.059263,1.38272,3.51153
