a0,a1,beta,tilde_beta,delta
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.001,0.001,0.5,1.5,1.5
0.00938355,0.0229764,0.23243,1.93944,1.49721
0.00938355,0.0229764,0.23243,1.93944,1.49721
0.00938355,0.0229764,0.23243,1.93944,1.49721
0.00938355,0.0229764,0.23243,1.93944,1.49721
0.00938355,0.0229764,0.23243,1.93944,1.49721
0.00938355,0.0229764,0.23243,1.93944,1.49721
0.00938355,0.0229764,0.23243,1.93944,1.49721
0.00938355,0.0229764,0.23243,1.93944,1.49721
0.00938355,0.0229764,0.23243,1.93944,1.49721
0.00938355,0.0229764,0.23243,1.93944,1.49721
0.00938355,0.0229764,0.23243,1.93944,1.49721
0.00938355,0.0229764,0.23243,1.93944,1.49721
0.00938355,0.0229764,0.23243,1.93944,1.49721
0.00938355,0.0229764,0.23243,1.93944,1.49721
0.00938355,0.0229764,0.23243,1.93944,1.49721
0.00938355,0.0229764,0.23243,1.93944,1.49721
0.00938355,0.0229764,0.23243,1.93944,1.49721
0.00938355,0.0229764,0.23243,1.93944,1.49721
0.00938355,0.0229764,0.23243,1.93944,1.49721
0.0061953,0.0290284,0.508745,2.29323,1.51304
0.0061953,0.0290284,0.508745,2.29323,1.51304
0.0061953,0.0290284,0.508745,2.29323,1.51304
0.0061953,0.0290284,0.508745,2.29323,1.51304
0.0061953,0.0290284,0.508745,2.29323,1.51304
0.0256421,0.0358836,0.988976,2.12647,1.33949
0.0235006,0.0417905,1.14792,2.19372,1.34827
0.0235006,0.0417905,1.14792,2.19372,1.34827
0.0235006,0.0417905,1.14792,2.19372,1.34827
0.0235006,0.0417905,1.14792,2.19372,1.34827
0.0235006,0.0417905,1.14792,2.19372,1.34827
0.0230133,0.0809586,1.29652,2.37665,1.36599
0.0230133,0.0809586,1.29652,2.37665,1.36599
0.0486254,0.10456,1.43973,2.64323,1.41934
0.0486254,0.10456,1.43973,2.64323,1.41934
0.0213993,0.138903,1.54037,2.54873,1.38324
0.029274,0.119311,1.33742,2.63914,1.45747
0.029274,0.119311,1.33742,2.63914,1.45747
0.029274,0.119311,1.33742,2.63914,1.45747
0.029274,0.119311,1.33742,2.63914,1.45747
0.0379642,0.0933762,1.48807,2.9084,1.5132
0.0313446,0.0958215,1.26965,3.14892,1.62324
0.0313446,0.0958215,1.26965,3.14892,1.62324
0.0313446,0.0958215,1.26965,3.14892,1.62324
0.0313446,0.0958215,1.26965,3.14892,1.62324
0.0313446,0.0958215,1.26965,3.14892,1.62324
0.0313446,0.0958215,1.26965,3.14892,1.62324
0.0313446,0.0958215,1.26965,3.14892,1.62324
0.0313446,0.0958215,1.26965,3.14892,1.62324
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
0.0377885,0.0899216,1.20705,2.99452,1.42987
