a0,a1,beta,tilde_beta
0.01,0.01,0.5,0.5
0.01,0.01,0.5,0.5
0.01,0.01,0.5,0.5
0.0290902,0.0227223,0.674709,2.7189
0.0290902,0.0227223,0.674709,2.7189
0.0290902,0.0227223,0.674709,2.7189
0.0249449,0.0546693,0.952256,4.60741
0.0192526,0.0659956,1.13703,3.97222
0.0192526,0.0659956,1.13703,3.97222
0.0192526,0.0659956,1.13703,3.97222
0.0192526,0.0659956,1.13703,3.97222
0.0192526,0.0659956,1.13703,3.97222
0.0192526,0.0659956,1.13703,3.97222
0.0192526,0.0659956,1.13703,3.97222
0.0177866,0.0435044,1.26632,5.77357
0.0177866,0.0435044,1.26632,5.77357
0.00333028,0.0921372,1.69902,7.09974
0.00333028,0.0921372,1.69902,7.09974
0.0115118,0.0226655,1.20773,7.57542
0.0115118,0.0226655,1.20773,7.57542
0.0115118,0.0226655,1.20773,7.57542
0.0115118,0.0226655,1.20773,7.57542
0.0115118,0.0226655,1.20773,7.57542
0.0115118,0.0226655,1.20773,7.57542
0.0115118,0.0226655,1.20773,7.57542
0.0482438,0.0116467,1.29344,9.05527
0.0482438,0.0116467,1.29344,9.05527
0.0482438,0.0116467,1.29344,9.05527
0.0482438,0.0116467,1.29344,9.05527
0.0482438,0.0116467,1.29344,9.05527
0.0482438,0.0116467,1.29344,9.05527
0.0482438,0.0116467,1.29344,9.05527
0.0482438,0.0116467,1.29344,9.05527
0.0482438,0.0116467,1.29344,9.05527
0.0482438,0.0116467,1.29344,9.05527
0.0211914,0.0315902,1.15005,11.2015
0.0211914,0.0315902,1.15005,11.2015
0.0211914,0.0315902,1.15005,11.2015
0.0211914,0.0315902,1.15005,11.2015
0.0211914,0.0315902,1.15005,11.2015
0.0211914,0.0315902,1.15005,11.2015
0.0417888,0.00670683,1.0683,8.45091
0.0417888,0.00670683,1.0683,8.45091
0.0417888,0.00670683,1.0683,8.45091
0.0416193,0.0173098,0.437934,7.03523
0.0253221,0.0170117,1.13772,5.03288
0.0253221,0.0170117,1.13772,5.03288
0.0253221,0.0170117,1.13772,5.03288
0.0253221,0.0170117,1.13772,5.03288
0.0442318,0.0927802,1.27357,2.48447
0.0442318,0.0927802,1.27357,2.48447
0.0442318,0.0927802,1.27357,2.48447
0.0129329,0.10808,1.12464,2.48681
0.0129329,0.10808,1.12464,2.48681
0.0129329,0.10808,1.12464,2.48681
0.0129329,0.10808,1.12464,2.48681
0.0129329,0.10808,1.12464,2.48681
0.0166109,0.150203,1.88956,3.08453
0.0166109,0.150203,1.88956,3.08453
0.0166109,0.150203,1.88956,3.08453
0.0219193,0.149251,1.27907,4.20534
0.0219193,0.149251,1.27907,4.20534
0.0219193,0.149251,1.27907,4.20534
0.0219193,0.149251,1.27907,4.20534
0.0219193,0.149251,1.27907,4.20534
0.0219193,0.149251,1.27907,4.20534
0.0219193,0.149251,1.27907,4.20534
0.0219193,0.149251,1.27907,4.20534
0.0219193,0.149251,1.27907,4.20534
