a0,a1,beta,epsilon,delta
0.001,0.001,0.001,0,0
0.00328521,0.00395046,0.0133022,0.0490674,0.338477
0.0114997,0.00834617,0.332545,0.0636174,0.225512
0.0114997,0.00834617,0.332545,0.0636174,0.225512
0.0114997,0.00834617,0.332545,0.0636174,0.225512
0.0114997,0.00834617,0.332545,0.0636174,0.225512
0.0151273,0.0170492,0.578299,0.0656744,0.0800376
0.0151273,0.0170492,0.578299,0.0656744,0.0800376
0.0151273,0.0170492,0.578299,0.0656744,0.0800376
0.0151273,0.0170492,0.578299,0.0656744,0.0800376
0.0151273,0.0170492,0.578299,0.0656744,0.0800376
0.0151273,0.0170492,0.578299,0.0656744,0.0800376
0.0151687,0.00980642,0.691402,0.0308256,0.304338
0.0151687,0.00980642,0.691402,0.0308256,0.304338
0.0151687,0.00980642,0.691402,0.0308256,0.304338
0.0151687,0.00980642,0.691402,0.0308256,0.304338
0.0151687,0.00980642,0.691402,0.0308256,0.304338
0.0151687,0.00980642,0.691402,0.0308256,0.304338
0.0151687,0.00980642,0.691402,0.0308256,0.304338
0.0151687,0.00980642,0.691402,0.0308256,0.304338
0.0151687,0.00980642,0.691402,0.0308256,0.304338
0.0151687,0.00980642,0.691402,0.0308256,0.304338
0.0151687,0.00980642,0.691402,0.0308256,0.304338
0.0133555,0.0141356,0.66514,0.0141573,0.214629
0.0133555,0.0141356,0.66514,0.0141573,0.214629
0.0133555,0.0141356,0.66514,0.0141573,0.214629
0.0133555,0.0141356,0.66514,0.0141573,0.214629
0.0133555,0.0141356,0.66514,0.0141573,0.214629
0.0133555,0.0141356,0.66514,0.0141573,0.214629
0.0133555,0.0141356,0.66514,0.0141573,0.214629
0.0133555,0.0141356,0.66514,0.0141573,0.214629
0.00650438,0.025574,1.20787,0.0279544,0.456908
0.00650438,0.025574,1.20787,0.0279544,0.456908
0.00650438,0.025574,1.20787,0.0279544,0.456908
0.00650438,0.025574,1.20787,0.0279544,0.456908
0.00650438,0.025574,1.20787,0.0279544,0.456908
0.00650438,0.025574,1.20787,0.0279544,0.456908
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0170967,0.0128773,0.747335,0.00809195,0.324763
0.0260165,0.000856903,0.61681,0.0149975,0.307659
0.0260165,0.000856903,0.61681,0.0149975,0.307659
0.0260165,0.000856903,0.61681,0.0149975,0.307659
0.0260165,0.000856903,0.61681,0.0149975,0.307659
0.0260165,0.000856903,0.61681,0.0149975,0.307659
0.0260165,0.000856903,0.61681,0.0149975,0.307659
0.0260165,0.000856903,0.61681,0.0149975,0.307659
0.0260165,0.000856903,0.61681,0.0149975,0.307659
0.0260165,0.000856903,0.61681,0.0149975,0.307659
0.0260165,0.000856903,0.61681,0.0149975,0.307659
0.0260165,0.000856903,0.61681,0.0149975,0.307659
0.0260165,0.000856903,0.61681,0.0149975,0.307659
0.0260165,0.000856903,0.61681,0.0149975,0.307659
0.0260165,0.000856903,0.61681,0.0149975,0.307659
0.0260165,0.000856903,0.61681,0.0149975,0.307659
