a0,a1,beta,
0.1,0.1,0.1,0.0589729
0.0589729,0.0774104,0.0762419,0.0589729
0.0589729,0.0774104,0.0762419,0.0503066
0.0503066,0.0695771,0.0627782,0.0503066
0.0503066,0.0695771,0.0627782,0.0503066
0.0503066,0.0695771,0.0627782,0.0503066
0.0503066,0.0695771,0.0627782,0.0503066
0.0503066,0.0695771,0.0627782,0.0503066
0.0503066,0.0695771,0.0627782,0.0503066
0.0503066,0.0695771,0.0627782,0.0502088
0.0502088,0.0396238,0.0356795,0.0316606
0.0316606,0.0314269,0.0329853,0.0253741
0.0253741,0.026001,0.0300135,0.0223881
0.0223881,0.0213377,0.0293674,0.0223881
0.0223881,0.0213377,0.0293674,0.0227596
0.0227596,0.018306,0.0173389,0.0197772
0.0197772,0.0143657,0.0222291,0.0210844
0.0210844,0.00911625,0.0400345,0.0123733
0.0123733,0.0213532,0.058614,0.00948395
0.00948395,0.0151928,0.0439393,0.00869458
0.00869458,0.0172939,0.0457718,0.00833679
0.00833679,0.0234894,0.0580621,0.00833679
0.00833679,0.0234894,0.0580621,0.00833679
0.00833679,0.0234894,0.0580621,0.00833679
0.00833679,0.0234894,0.0580621,0.00813171
0.00813171,0.0154164,0.0680281,0.00813171
0.00813171,0.0154164,0.0680281,0.00870227
0.00870227,0.0178202,0.0645531,0.00870227
0.00870227,0.0178202,0.0645531,0.00870227
0.00870227,0.0178202,0.0645531,0.00870227
0.00870227,0.0178202,0.0645531,0.00870227
0.00870227,0.0178202,0.0645531,0.00962821
0.00962821,0.0205416,0.0664774,0.00962821
0.00962821,0.0205416,0.0664774,0.0103653
0.0103653,0.021931,0.0874357,0.0117982
0.0117982,0.0296691,0.146524,0.0117982
0.0117982,0.0296691,0.146524,0.015615
0.015615,0.020244,0.1195,0.015615
0.015615,0.020244,0.1195,0.015615
0.015615,0.020244,0.1195,0.015615
0.015615,0.020244,0.1195,0.0136092
0.0136092,0.0210095,0.141949,0.0121578
0.0121578,0.0415227,0.236789,0.0121578
0.0121578,0.0415227,0.236789,0.0121578
0.0121578,0.0415227,0.236789,0.0121578
0.0121578,0.0415227,0.236789,0.0121578
0.0121578,0.0415227,0.236789,0.0121578
0.0121578,0.0415227,0.236789,0.0121578
0.0121578,0.0415227,0.236789,0.0245038
0.0245038,0.0620704,0.475388,0.0245038
0.0245038,0.0620704,0.475388,0.039252
0.039252,0.0503175,0.485592,0.039252
0.039252,0.0503175,0.485592,0.039252
0.039252,0.0503175,0.485592,0.0300767
0.0300767,0.0825354,0.467274,0.0300767
0.0300767,0.0825354,0.467274,0.0285555
0.0285555,0.135548,0.484213,0.0285555
0.0285555,0.135548,0.484213,0.0285555
0.0285555,0.135548,0.484213,0.0285555
0.0285555,0.135548,0.484213,0.0285555
0.0285555,0.135548,0.484213,0.0285555
0.0285555,0.135548,0.484213,0.0285555
0.0285555,0.135548,0.484213,0.0285555
0.0285555,0.135548,0.484213,0.0285555
0.0285555,0.135548,0.484213,0.0285555
0.0285555,0.135548,0.484213,0.0285555
0.0285555,0.135548,0.484213,0.0285555
0.0285555,0.135548,0.484213,0.0285555
0.0285555,0.135548,0.484213,0.0285555
0.0285555,0.135548,0.484213,0.0729463
0.0729463,0.128337,0.715779,0.0729463
0.0729463,0.128337,0.715779,0.0729293
0.0729293,0.179791,0.652569,0.0729293
0.0729293,0.179791,0.652569,0.0729293
0.0729293,0.179791,0.652569,0.0729293
0.0729293,0.179791,0.652569,0.126105
0.126105,0.165637,0.757842,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.124038
0.124038,0.211355,0.809211,0.134349
0.134349,0.157406,0.70952,0.134349
0.134349,0.157406,0.70952,0.134349
0.134349,0.157406,0.70952,0.134349
0.134349,0.157406,0.70952,0.134349
0.134349,0.157406,0.70952,0.134349
0.134349,0.157406,0.70952,0.134349
0.134349,0.157406,0.70952,0.134349
0.134349,0.157406,0.70952,0.248638
0.248638,0.105987,0.771592,0.321186
0.321186,0.133887,0.899343,0.321186
0.321186,0.133887,0.899343,0.321186
0.321186,0.133887,0.899343,0.321186
0.321186,0.133887,0.899343,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.357658
0.357658,0.147602,0.920559,0.469107
0.469107,0.113983,1.0368,0.469107
0.469107,0.113983,1.0368,0.469107
0.469107,0.113983,1.0368,0.469107
0.469107,0.113983,1.0368,0.584811
0.584811,0.0969783,1.12049,0.584811
0.584811,0.0969783,1.12049,0.584811
0.584811,0.0969783,1.12049,0.584811
0.584811,0.0969783,1.12049,0.584811
0.584811,0.0969783,1.12049,0.584811
0.584811,0.0969783,1.12049,0.584811
0.584811,0.0969783,1.12049,0.584811
0.584811,0.0969783,1.12049,0.584811
0.584811,0.0969783,1.12049,0.584811
0.584811,0.0969783,1.12049,0.584811
0.584811,0.0969783,1.12049,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,0.519747
0.519747,0.107386,1.06545,1.02445
1.02445,0.119445,1.17725,1.31354
1.31354,0.130456,1.2718,1.31354
1.31354,0.130456,1.2718,1.31354
1.31354,0.130456,1.2718,1.31354
1.31354,0.130456,1.2718,1.31354
1.31354,0.130456,1.2718,1.31354
1.31354,0.130456,1.2718,1.31354
1.31354,0.130456,1.2718,1.31354
1.31354,0.130456,1.2718,1.56802
1.56802,0.0748329,1.37773,1.56802
1.56802,0.0748329,1.37773,1.56802
1.56802,0.0748329,1.37773,1.56802
1.56802,0.0748329,1.37773,1.56802
1.56802,0.0748329,1.37773,1.56802
1.56802,0.0748329,1.37773,1.56802
1.56802,0.0748329,1.37773,1.56802
1.56802,0.0748329,1.37773,1.56802
1.56802,0.0748329,1.37773,1.56802
1.56802,0.0748329,1.37773,1.56802
1.56802,0.0748329,1.37773,1.56802
1.56802,0.0748329,1.37773,1.22063
1.22063,0.125404,1.19831,2.15639
2.15639,0.152309,1.34967,2.15639
2.15639,0.152309,1.34967,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
2.78422,0.147464,1.48806,2.78422
